 year doy hour dst
 2021 47 16 -18
 2021 47 17 -14
 2021 47 18 -12
 2021 47 19 -8
 2021 47 20 -7
 2021 47 21 -5
 2021 47 22 -4
 2021 47 23 -5
 2021 48 0 -7
 2021 48 1 -8
 2021 48 2 -8
 2021 48 3 -6
 2021 48 4 -9
 2021 48 5 -11
 2021 48 6 -10
 2021 48 7 -6
 2021 48 8 -6
 2021 48 9 -3
 2021 48 10 -1
 2021 48 11 2
 2021 48 12 2
 2021 48 13 -1
 2021 48 14 -5
 2021 48 15 -7
 2021 48 16 -7
 2021 48 17 -2
 2021 48 18 2
 2021 48 19 2
 2021 48 20 -5
 2021 48 21 -9
 2021 48 22 -13
 2021 48 23 -11
 2021 49 0 -9
 2021 49 1 -10
 2021 49 2 -12
 2021 49 3 -12
 2021 49 4 -7
 2021 49 5 -3
 2021 49 6 0
 2021 49 7 -1
 2021 49 8 -5
 2021 49 9 -4
 2021 49 10 -3
 2021 49 11 1
 2021 49 12 3
 2021 49 13 5
 2021 49 14 4
 2021 49 15 1
 2021 49 16 -1
 2021 49 17 0
 2021 49 18 0
 2021 49 19 3
 2021 49 20 2
 2021 49 21 0
 2021 49 22 -4
 2021 49 23 -5
 2021 50 0 -8
 2021 50 1 -12
 2021 50 2 -14
 2021 50 3 -8
 2021 50 4 -6
 2021 50 5 -3
 2021 50 6 -2
 2021 50 7 -5
 2021 50 8 -3
 2021 50 9 4
 2021 50 10 7
 2021 50 11 8
 2021 50 12 9
 2021 50 13 0
 2021 50 14 -16
 2021 50 15 -18
 2021 50 16 -22
 2021 50 17 -26
 2021 50 18 -30
 2021 50 19 -28
 2021 50 20 -22
 2021 50 21 -18
 2021 50 22 -34
 2021 50 23 -32
 2021 51 0 -29
 2021 51 1 -27
 2021 51 2 -27
 2021 51 3 -19
 2021 51 4 -15
 2021 51 5 -18
 2021 51 6 -23
 2021 51 7 -13
 2021 51 8 -4
 2021 51 9 1
 2021 51 10 1
 2021 51 11 -5
 2021 51 12 -1
 2021 51 13 -10
 2021 51 14 -19
 2021 51 15 -18
 2021 51 16 -20
 2021 51 17 -21
 2021 51 18 -16
 2021 51 19 -23
 2021 51 20 -31
 2021 51 21 -33
 2021 51 22 -33
 2021 51 23 -31
 2021 52 0 -35
 2021 52 1 -35
 2021 52 2 -31
 2021 52 3 -31
 2021 52 4 -30
 2021 52 5 -28
 2021 52 6 -24
 2021 52 7 -20
 2021 52 8 -21
 2021 52 9 -14
 2021 52 10 -11
 2021 52 11 -11
 2021 52 12 -9
 2021 52 13 -13
 2021 52 14 -21
 2021 52 15 -20
 2021 52 16 -15
 2021 52 17 -11
 2021 52 18 -13
 2021 52 19 -13
 2021 52 20 -11
 2021 52 21 -14
 2021 52 22 -17
 2021 52 23 -18
 2021 53 0 -24
 2021 53 1 -27
 2021 53 2 -30
 2021 53 3 -31
 2021 53 4 -29
 2021 53 5 -30
 2021 53 6 -27
 2021 53 7 -24
 2021 53 8 -19
 2021 53 9 -19
 2021 53 10 -16
 2021 53 11 -14
 2021 53 12 -13
 2021 53 13 -15
 2021 53 14 -14
 2021 53 15 -12
 2021 53 16 -11
 2021 53 17 -8
 2021 53 18 -8
 2021 53 19 -8
 2021 53 20 -10
 2021 53 21 -8
 2021 53 22 -7
 2021 53 23 -10
 2021 54 0 -15
 2021 54 1 -18
 2021 54 2 -18
 2021 54 3 -17
 2021 54 4 -13
 2021 54 5 -10
 2021 54 6 -12
 2021 54 7 -14
 2021 54 8 -12
 2021 54 9 -8
 2021 54 10 -5
 2021 54 11 -5
 2021 54 12 -11
 2021 54 13 -14
 2021 54 14 -14
 2021 54 15 -13
 2021 54 16 -11
 2021 54 17 -8
 2021 54 18 -6
 2021 54 19 -3
 2021 54 20 -3
 2021 54 21 -6
 2021 54 22 -7
 2021 54 23 -8
 2021 55 0 -7
 2021 55 1 -6
 2021 55 2 -10
 2021 55 3 -8
 2021 55 4 -6
 2021 55 5 -14
 2021 55 6 -15
 2021 55 7 -16
 2021 55 8 -20
 2021 55 9 -24
 2021 55 10 -24
 2021 55 11 -18
 2021 55 12 -14
